,Unnamed: 0,producto,precio,precio_rel,link,oferta,Q,precio_medida,medida,Q_medida,precio_medida1,precio_medida2
111,111,DIA AL PUNTO hamburguesa con bacon envase 220 gr,2.59,11.77/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 220 gr,11.77,Kg,0.22,11.77,11.77
112,112,DIA AL PUNTO hamburguesa con queso envase 220 gr,2.59,11.77/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 220 gr,11.77,Kg,0.22,11.77,11.77
113,113,FLORETTE ensalada cesar American style tarrina 200 gr,2.99,14.95/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 200 gr,14.95,Kg,0.2,14.95,14.95
114,114,DIA MARI MARINERA pata de pulpo cocido envase 250 gr,8.95,35.80/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,0, 250 gr,35.80,Kg,0.25,35.80,35.8
115,115,DIA AL PUNTO pastel de atun bandeja 260 gr,2.85,10.96/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0, 260 gr,10.96,Kg,0.26,10.96,10.96
116,116,DIA medio pollo asado sazonado bandeja 450 gr,3.49,7.76/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0, 450 gr,7.76,Kg,0.45,7.76,7.76
117,117,DIA VEGECAMPO ensalada Cesar tarrina 210 gr,2.05,9.76/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0, 210 gr,9.76,Kg,0.21,9.76,9.76
118,118,DIA VEGECAMPO ensalada Brooklyn con bacon tarrina 192 gr,2.25,11.72/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0, 192 gr,11.72,Kg,0.192,11.72,11.72
119,119,DIA AL PUNTO croquetas de jamon bandeja 162 gr,2.05,12.65/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0, 162 gr,12.65,Kg,0.162,12.65,12.65
120,120,GOLDEN ensalada veggie tarrina 200 gr,1.79,3.89/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0, 200 gr,3.89,Kg,0.46,3.89,3.89
121,121,GOLDEN ensalada thai tarrina 200 gr,1.79,3.89/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0, 200 gr,3.89,Kg,0.46,3.89,3.89
122,122,PAMPLONICA callos gourmet con chorizo y pimiento caja 380 gr,3.99,10.50/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0, 380 gr,10.50,Kg,0.38,10.50,10.5
123,123,PAMPLONICA magro con tomate caja 380 gr,3.99,10.50/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0, 380 gr,10.50,Kg,0.38,10.50,10.5
124,124,AGUINAMAR pintxo donostiarra envase 130 gr,2.19,16.85/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0, 130 gr,16.85,Kg,0.13,16.85,16.85
125,125,PAMPLONICA carrillera en salsa caja 380 gr,4.99,13.13/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0, 380 gr,13.13,Kg,0.38,13.13,13.13
126,126,DIA AL PUNTO pizza familiar cuatro quesos envase 580 gr,2.79,4.81/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0, 580 gr,4.81,Kg,0.58,4.81,4.81
127,127,UBAGO tartar de salmon ahumado envase 100 gr,4.39,43.90/Kg,https://www.dia.es/compra-online/platos-preparados/cf?page=3&disp=,0, 100 gr,43.90,Kg,0.1,43.90,43.9
128,128,LITORAL fabada asturiana lata 435 gr,1.85,4.40/Kg,https://www.dia.es/compra-online/platos-preparados/cf,0, 435 gr,4.40,Kg,0.42,4.40,4.4
