,producto,precio,cantidad,medida,cantidad_
221,Yogur griego con fresas Danone Oikos sin gluten pack de 4 unidades de 110 g.,2.35,0.44,kg,0.44
222,Almendra repelada cruda Carrefour tarrina 250 g,3.99,0.25,kg,0.25
223,Yemas de esparragos muy gruesas Carrefour 110 g.,1.15,0.11,kg,0.11
224,Patatas fritas onduladas sabor jamon Ruffles 160 g.,1.54,0.16,kg,0.16
225,Natillas con galleta entera Carrefour pack de 4 unidades de 125 g.,0.88,0.5,kg,0.5
226,Pimientos del Piquillo asados en tiras primera Carrefour sin lactosa 225 g.,0.99,0.225,kg,0.225
227,Sardinas en aceite de oliva bajo en sal Calvo 84 g.,1.32,0.084,kg,0.084
228,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18
229,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2
230,Huevos M-L ecologicos Carrefour Bio 6 ud.,1.99,0.5,ud,0.5
231,Cafe molido natural cultivo sostenible Nestle Bonka 500 g.,3.45,0.5,kg,0.5
232,Macarrones integrales Carrefour 500 g.,0.8,0.5,kg,0.5
233,Nachos sabor clasico Carrefour 150 g.,0.85,0.15,kg,0.15
234,Pimiento rojo en tiras Carrefour pack de 3 latas de 60 g.,0.99,0.18,kg,0.18
235,Caldo de pescado Carrefour sin gluten 1 l.,0.99,1.0,L,1.0
236,Macarrones Carrefour 500 g.,0.65,0.5,kg,0.5
237,Filetes de caballa del sur en aceite de oliva Carrefour pack de 2 latas de 65 g.,1.49,0.13,kg,0.13
238,Yogur L.Casei liquido con fresa Danone - Actimel kids pack de 14 unidades de 100 g.,5.99,1.4,kg,1.4
239,Natillas de vainilla Danone Danet pack de 8 unidades de 120 g.,2.99,0.961,kg,0.961
240,Turron de yema tostada Carrefour Sensation sin gluten 250 g.,1.9,0.25,kg,0.25
241,Judias verdes troceadas al natural La Hacienda de Ybarra 360 g.,0.99,0.36,kg,0.36
242,Mejillones de las rias gallegas en escabeche Carrefour sin gluten pack de 3 unidades de 43 g.,1.19,0.129,kg,0.129
243,Espaguetis Garofalo 500 g.,1.81,0.5,kg,0.5
244,Pizza 4 quesos Carrefour 400 g.,1.99,0.4,kg,0.4
245,Fideo entrefino Carrefour 500 g.,0.7,0.5,kg,0.5
246,Arroz largo vaporizado Brillante 1 kg.,1.59,1.0,kg,1.0
247,Cacao soluble instantaneo Nestle Nesquik sin gluten y sin lactosa bolsa de 1.5 kg.,7.43,1.501,kg,1.501
248,Calamares en su tinta Calvo sin gluten y sin lactosa pack de 3 unidades de 48 g.,2.29,0.144,kg,0.144
249,Yogur azucarado natural Danone pack de 8 unidades de 120 g.,2.14,1.0,kg,1.0
250,Mayonesa con aceite de girasol Carrefour envase 380 g.,0.94,0.381,kg,0.381
251,Hummus tradicional Taste Realfooding Shukran sin gluten sin lactosa 240 g.,1.59,0.24,kg,0.24
252,Alubia roja categoria extra Luengo 570 g.,1.25,0.401,kg,0.401
253,Yogur bifidus desnatado natural Danone Activia pack de 8 unidades de 120 g.,3.29,1.0,kg,1.0
254,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18
255,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2
256,Huevos M-L ecologicos Carrefour Bio 6 ud.,1.99,0.5,ud,0.5
257,Leche entera President brik 1 l.,0.74,1.0,L,1.0
258,Tortillas de trigo Old El Paso 244 g.,1.99,0.244,kg,0.244
259,Cuscus grano mediano Carrefour 500 g.,0.82,0.5,kg,0.5
260,Yogur con bolitas cubiertas de chocolate Mix-in Nestle Kit Kat pack de 2 unidades de 115 g.,1.59,0.23,kg,0.23
261,Pina con zumo de pina en rodajas Carrefour 490 g.,1.6,0.489,kg,0.489
262,Spaguetti integral ecologico Carrefour Bio 500 g.,0.75,0.5,kg,0.5
263,Arroz redondo Brillante Sabroz 1 kg.,1.89,1.0,kg,1.0
264,Lenteja castellana categoria extra Carrefour 1 kg.,1.3,1.0,kg,1.0
265,Yogur liquido de fresa Danone Danonino pack de 4 unidades de 100 g.,2.29,0.4,kg,0.4
266,Pizza 4 quesos Casa Tarradellas 390 g.,2.63,0.39,kg,0.39
267,Laurel Carrefour 10 g.,0.55,0.01,kg,0.01
268,Churros lazo Carrefour sin lactosa 500 g.,0.8,0.5,kg,0.5
269,Aceite de oliva intenso 1Âº Carrefour garrafa 5 l.,15.5,5.0,L,5.0
270,Pizza prosciutto Ristorante Dr. Oetker 330 g.,3.48,0.33,kg,0.33
271,Natillas de chocolate Danone Danet pack de 4 unidades de 120 g.,2.09,0.48,kg,0.48
272,Nuez mondada Carrefour tarrina 150 g,3.99,0.15,kg,0.15
273,Bebida de soja sin azucar anadido Carrefour sin gluten brik 1 l.,0.8,1.0,L,1.0
274,Galletas Maria Fontaneda 800 g.,2.05,0.801,kg,0.801
275,Palomitas al punto de sal para microondas Popitas sin gluten pack de 3 unidades de 100 g.,2.49,0.3,kg,0.3
276,Alubia blanca categoria extra Carrefour 1 kg.,1.55,1.0,kg,1.0
277,Preparado lacteo Omega 3 Puleva sin gluten brik 1 l.,1.39,1.0,L,1.0
278,Vinagre balsamico de modena Carrefour 500 ml.,1.84,0.5,L,0.5
279,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18
280,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2
281,Huevos M-L ecologicos Carrefour Bio 6 ud.,1.99,0.5,ud,0.5
282,Pure de patatas Maggi sin gluten 520 g.,2.79,0.52,kg,0.52
283,Tiras de maiz sabor barbacoa Carrefour 150 g.,0.55,0.15,kg,0.15
284,Yogur de limon Danone sin gluten pack de 4 unidades de 120 g.,1.19,0.5,kg,0.5
285,Harina de maiz fina Maizena sin gluten 400 g.,1.54,0.4,kg,0.4
286,Maiz para palomitas Carrefour500 g.,1.39,0.5,kg,0.5
287,judias verde redondas Ybarra 360 g.,0.99,0.36,kg,0.36
288,Perejil Carrefour 10 g.,0.38,0.01,kg,0.01
289,Miel de flores antigoteo Carrefour 500 g.,2.99,0.5,kg,0.5
290,Pistachos tostados y saldaos Carrefour 400 g.,4.75,0.4,kg,0.4
