,precio,precio/kg,producto,anadir,none,link,m,k,s
85,"
1,84 €","3,68 €/l",Vinagre balsámico de módena Carrefour 500 ml.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=264,,,,
86,"
2,14 €","2,14 €/kg",Yogur azucarado natural Danone pack de 8 unidades de 120 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=264,,,,
87,"
3,11 €","3,11 €/kg",Arroz basmati Sundari 1 Kg.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=264,,,,
88,"
0,95 €","2,37 €/kg",Alubia cocida categoría extra Luengo 400 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=288,,,,
89,"
5,99 €","4,28 €/kg",Yogur L.Casei líquido con fresa Danone - Actimel kids pack de 14 unidades de 100 g.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=288,,,
90,"
0,99 €","0,99 €/l",Caldo de pescado Carrefour sin gluten 1 l.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=288,,,
91,"
0,71 €","1,42 €/kg",Cuscús grano mediano Carrefour 500 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=288,,,,
92,"
2,29 €","5,72 €/kg",Yogur líquido de fresa Danone Danonino pack de 4 unidades de 100 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=288,,,,
93,"
0,80 €","1,60 €/kg",Churros lazo Carrefour sin lactosa 500 g.,Congelado,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=288,,
94,"
0,96 €",32 €/kg,Anchoas en aceite de oliva Carrefour 50 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=288,,,,
95,"
1,39 €","2,78 €/kg",Maíz para palomitas Carrefour500 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=288,,,,
96,"
1,28 €","2,56 €/kg",Copos de avena integral ecológicos Carrefour Bio 500 g.,Bio,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=312,,,
97,"
1,60 €","3,27 €/kg",Piña con zumo de piña en rodajas Carrefour 490 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=312,,,,
98,"
1,56 €","9,75 €/kg",Patatas fritas sabor campesinas Lay's 160 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=312,,,,
99,"
2,40 €",8 €/kg,Palomitas al punto de sal para microondas Popitas sin gluten pack de 3 unidades de 100 g.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=312,,,
100,"
1,75 €",14 €/kg,Galletas con pepitas de chocolate sin azúcares Zero Gullón 125 g.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=312,,,
101,"
3,49 €","8,72 €/kg",Galletas con pepitas de chocolate Chips Ahoy 400 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=312,,,,
102,"
0,75 €","1,50 €/kg",Spaguetti integral ecológico Carrefour Bio 500 g.,Bio,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=312,,,
103,"
1,69 €","9,94 €/kg",Galletas finas con chocolate con leche Digestive Fontaneda 170 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=312,,,,
104,"
10,18 €","16,97 €/kg",Bombones de chocolate con leche y surtidos Lindt Lindor pack de 2 unidades de 200 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=336,,,,
105,"
1,43 €","9,79 €/kg",Tiras de maíz BBQ orginal Fritos 146 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=336,,,,
106,"
1,62 €","1,56 €","10,80 €/kg
 | 
10,40 €/kg",Aceitunas negras cacereñas sin hueso Serpis sin gluten y sin lactosa150 g.,Sin gluten,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=336,
107,"
4,75 €","11,87 €/kg",Pistachos tostados y saldaos Carrefour 400 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=336,,,,
108,"
5,29 €","10,58 €/kg",Café molido mezcla Gran Aroma Marcilla 500 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=336,,,,
109,"
2,19 €","4,38 €/kg",Galletas napolitana Cuétara 500 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=336,,,,
110,"
1,37 €","10,96 €/kg",Chocolate con leche y galleta Jungly Nestlé 125 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=336,,,,
111,"
1,85 €","9,25 €/kg",Café soluble natural Carrefour 200 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=336,,,,
112,"
2,09 €","4,35 €/kg",Yogur bífidus desnatado cremoso de frutos silvestres Danone Activia sin gluten pack de 4 unidades de 120 g.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=360,,,
113,"
1,56 €","18,57 €/kg",Cortezas de trigoBoca Bits Matutano 84 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=360,,,,
114,"
1,06 €","10,60 €/kg",Chocolate negro 80% Carrefour Selección 100 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=360,,,,
115,"
0,74 €","5,92 €/l",Salsa de soja Carrefour botella 125 ml.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=360,,,,
116,"
0,52 €","2,48 €/kg",Garbanzos cocidos Carrefour 210 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=360,,,,
117,"
1,52 €","10,86 €/kg",Doritos Tex Mex 140 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=360,,,,
