,producto,precio,precio/kg,none
322,"










					FONTE OS ANXOS queso de tetilla pieza 550 gr",4.15,7.55/Kg,
323,SELECCIÓN DE DIA chuleta de lomo de cerdo bandeja 600 gr,2.79,4.65/Kg,
324,"










					GARCIA BAQUERO queso tierno ya cortado envase 250 gr",4.29,17.16/Kg,
325,"










					PRESIDENT queso de cabra en medallones 200 gr  ",2.89,14.45/Kg,
326,"










					FONTE OS ANXOS  queso graso madurado pieza 600 gr ",4.45,7.42/Kg,
327,AGROPIGEN tomate ensalada bio bandeja (1 Kg aprox.),3.05,3.05/Kg,
328,Zanahoria bio bandeja 600 gr,1.59,2.65/Kg,
329,Plátano bio bandeja (1.1 Kg aprox.),3.29,2.99/Kg,
330,SELECCIÓN DE DIA escalopines de ternera (peso aprox. 500 gr),4.50,8.99/Kg,
331,Ajo morado malla 400 gr,1.99,4.98/Kg,
332,SELECCIÓN DE DIA pollo para asar bandeja 2 uds 2 Kg,5.99,3.00/Kg,
333,ROYAL salmón ahumado envase 80 gr,4.29,53.63/Kg,
334,PAVOFRÍO pechuga de pavo braseada al horno en lonchas,10.99,10.99/Kg,
335,"










					PRESIDENT queso de cabra rulo 180 gr",3.05,16.94/Kg,
336,BURGO DE ARIAS queso fresco natural original pack 2 x 230 gr,4.21,9.15/Kg,
337,EL CASERIO queso fundido en lonchas paquete 300 gr ,1.83,6.10/Kg,
338,"










					ELPOZO pavo sandwich en lonchas envase 340 gr ",2.00,5.88/Kg,
339,"










					NOEL Grand bouquet jamón cocido extra sobre 180 gr",2.09,11.61/Kg,
340,"










					FRESCO DE BOCA queso de burgos envase 500 gr",3.19,6.38/Kg,
341,"










					SELECCIÓN DE DIA Filete 1ºA de ternera (peso aprox. 460 gr)",5.01,10.89/Kg,
342,ELPOZO longaniza imperial pieza 230 gr,2.00,8.70/Kg,
343,Espárrago verde fino manojo 250 gr,1.99,7.96/Kg,
344,"










					Anchodinas envase 50 gr",1.59,31.80/Kg,
345,"










					SCHARA salchichas frankfrut alemana tradicional envase 170 gr ",2.85,16.76/Kg,
346,"










					SCHARA salchichas  frankfrut alemana tradicional pikante envase 170 gr 
",2.49,14.65/Kg,
347,Granada unidad (420 gr aprox.),1.39,1.85/Kg,
348,"










					DIA LACTEA mozzarella rallada bolsa 200 gr",1.39,6.95/Kg,
349,Mandarina malla 2 Kg,2.79,1.40/Kg,
350,Uva blanca racimo (920 gr aprox.),2.57,2.79/Kg,
351,Corazón de lechuga romana ud,0.79,0.79/ud,
352,Tomate kumato unidad (160 gr aprox.),0.38,2.39/Kg,
353,Caqui unidad (400 gr aprox.),0.68,1.69/Kg,
354,"CACHELOS PRADO patatas malla 3 Kg 
",3.59,1.20/Kg,
355,Boniato unidad (580 gr aprox.),1.31,2.25/Kg,
356,Cebolla dulce malla 1 Kg,1.99,1.99/Kg,
357,Uva blanca sin semilla bandeja 500 gr ,2.49,4.98/Kg,
358,Endivias bandeja 350 gr,0.99,2.83/Kg,
359,DIA VEGECAMPO ensalada selección de brotes bolsa 100 gr,0.99,9.90/Kg,
360,Filetes de pechuga de pollo a las finas hierbas bandeja 375 gr,2.65,7.07/Kg,
361,"










					PHILADELPHIA queso para untar con salmón tarrina 150 gr ",2.09,13.93/Kg,
362,SELECCIÓN DE DIA filete de pavo al pimentón bandeja (peso aprox. 600 gr),4.19,6.99/Kg,
363,SELECCIÓN DE DIA arreglo para caldo (peso aprox. 1.2 Kg),4.79,3.99/Kg,
364,Mandarina malla 1 Kg,1.69,1.69/Kg,
365,Acelgas manojo (1.2 Kg aprox.),1.79,1.49/Kg,
366,Medio conejo troceado bandeja (800 gr aprox.),5.36,6.70/Kg,
367,"DIA SELECCIÓN MUNDIAL queso provolone con orégano envase 200 gr


2.15",1.61,"

10.75/Kg.
8.05/Kg.

","		25%



"
368,DIA DELICIOUS chorizo ibérico lonchas envase 100 gr,1.75,17.50/Kg,
369,DIA DELICIOUS salchichón ibérico lonchas envase 100 gr,1.65,16.50/Kg,
370,DIA DELICIOUS filetes de anchoa en aceite de oliva lata 55 gr,3.39,61.64/Kg,
371,DIA chorizo de pavo en lonchas sobre 150 gr,1.95,13.00/Kg,
372,Papaya canaria unidad (1.6 Kg aprox.),4.78,2.99/Kg,
373,"










					NAVIDUL paleta de cebo ibérica de Extremadura 50% de raza ibérica en lonchas sobre 104 gr 


6.09",4.79,"

58.56/Kg.
46.06/Kg.

","		4.79 €



"
374,Filetes de pollo empanados bandeja 400 gr ,2.59,6.48/Kg,
375,"










					NAVIDUL lacón ahumado natural sobre 150 gr ",2.00,13.33/Kg,
376,DIA SELECCIÓN MUNDIAL queso rallado grana padano bolsa 100 gr ,1.49,14.90/Kg,
377,"










					EL PASTOR DE LA POLVOROSA queso de vaca rulo madurado envase 140 gr ",1.19,8.50/Kg,
378,DIA LACTEA queso fresco 0 % M.G pack de 2 uds x 250 gr,1.65,3.30/Kg,
379,SERRANO fiambre de lomo al horno sobre 240 gr ,1.99,8.29/Kg,
380,"










					CAMPOFRIO salchichas de pavo pack 3 x 170 gr ",2.00,3.92/Kg,
381,"EL VENTERO queso tierno light lonchas envase 160 gr
",2.65,16.56/Kg,
382,EL VENTERO queso tierno original en lonchas envase 160 gr ,2.69,16.81/Kg,
383,Tomate cherry bandeja 500 gr ,1.49,2.98/Kg,
384,EZEQUIEL chorizo extra dulce envase 425 gr,5.99,14.09/Kg,
385,"










					EZEQUIEL chorizo extra picante pieza 425 gr",5.99,14.09/Kg,
386,SELECCIÓN DE DIA filetes de cinta de lomo de cerdo bandeja 400 gr,2.59,6.48/Kg,
387,SELECCIÓN DE DIA Entrecot de vacuno (peso aprox. 550 gr),9.85,17.90/Kg,
388,NAVIDUL jamón reserva cuatro estaciones pieza (peso aprox. 7 Kg),69.00,9.86/Kg,
389,VOLATIN jamón bodega pieza (peso aprox. 6.5 Kg),45.00,6.92/Kg,
390,CERRATO queso mezcla semicurado cuña (peso aprox 350 gr),3.50,9.99/Kg,
391,Filete de bacalao con piel. limpio y sin espinas unidad (peso aprox. 500 gr),4.50,8.99/Kg,
392,Sepia mediana limpia y entera unidad (peso aprox. 850 gr),8.49,9.99/Kg,
393,Gallo mediano limpio y entero unidad (peso aprox. 600 gr),7.19,11.99/Kg,
394,Lubina de cultivo limpia y entera unidad (peso aprox. 750 gr),5.09,6.79/Kg,
395,"










					Dorada de cultivo limpia y entera unidad (peso aprox. 750 gr)",5.99,7.99/Kg,
396,GARCIA BAQUERO queso mezcla reserva 12 meses cuña (peso aprox. 300 gr),5.25,17.49/Kg,
397,SELECCIÓN DE DIA chuletas de pavo al ajillo bandeja (peso aprox. 575 gr),4.02,6.99/Kg,
398,FLORENCIO GOMEZ chorizo ibérico de bellota en lonchas sobre (peso aprox. 200 gr),2.60,12.99/Kg,
399,"FLORENCIO GOMEZ lomo de cebo ibérico en lonchas sobre (peso aprox. 200 gr)
",8.00,39.99/Kg,
400,FLORENCIO GOMEZ salchichón ibérico de bellota en lonchas sobre (peso aprox. 200 gr),2.60,12.99/Kg,
401,AOSTE mousse de foie de pato medallón (peso aprox. 150 gr),2.10,13.99/Kg,
402,PRESIDENT queso brie cuña (peso aprox. 300 gr),4.50,14.99/Kg,
403,HOLLANDIA queso edam tierno cuña (peso aprox. 300 gr),2.55,8.49/Kg,
404,HOLLANDIA queso maasdam cuña (peso aprox. 300 gr),3.30,10.99/Kg,
405,Pavita unidad (peso aprox. 2.5 Kg),14.98,5.99/Kg,
406,Anillas de potón (peso aprox. 250 gr),2.00,7.99/Kg,
407,Merluza de pincho limpia en filetes (peso aprox. 2.1 Kg),23.08,10.99/Kg,
408,Salmón en rodaja unidad (peso aprox. 400 gr),5.20,12.99/Kg,
409,Gambón crudo bolsa (peso aprox. 500 gr),5.75,11.49/Kg,
410,Langostino cocido bolsa (peso aprox. 500 gr),4.00,7.99/Kg,
411,FRIAL pechuga de pavo natural en lonchas,13.89,13.89/Kg,
412,VALDE LOS FRAILES queso cabrales D.O.P cuña (peso aprox. 300 gr),4.79,15.95/Kg,
413,"










					GALBANI queso mozzarella bolsa 100 gr ",1.00,10.00/Kg,
414,"










					LA CARLOTEÑA redondo de pollo asado relleno de bacon envase 250 gr",2.05,8.20/Kg,
415,DIA DELICIOUS queso de cabra con pimentón cuña 250 gr ,3.75,15.00/Kg,
416,DIA SELECCIÓN MUNDIAL escamas de queso parmigianno regianno DOP tarrina 80 gr,1.85,23.13/Kg,
417,MILLAN VICENTE queso gruyere suizo cuña (peso aprox. 300 gr),7.50,24.99/Kg,
418,DIA GALATEA queso fundido light lonchas envase 300 gr ,1.55,5.17/Kg,
419,ARIAS queso chaumes cuña (peso aprox. 300 gr),6.90,22.99/Kg,
420,"










					DIA SELECCIÓN MUNDIAL queso gorgonzola DOP envase 200 gr",2.05,10.25/Kg,
421,NOBLEZA EXTREMEÑA jamón de bellota 100% Ibérico (peso aprox. 7.5 Kg)   ,289.00,38.53/Kg,
422,GRAN CAPITAN queso curado cortadas cuña 210 gr,4.29,20.43/Kg,
423,"










					EL VENTERO queso mezcla tierno lonchas sin lactosa envase 140 gr ",2.55,18.21/Kg,
424,PICKEN cabeza de jabalí ibérica con pistachos a la trufa en lonchas,10.99,10.99/Kg,
425,PRESIDENT crema de queso semicurado tarrina 125 gr ,1.65,13.20/Kg,
426,"










					PALACIOS chorizo sarta picante pieza 250 gr",3.49,13.96/Kg,
427,"










					OSCAR MAYER bacon en lonchas envase 150 gr",1.95,13.00/Kg,
428,CAMPOFRIO salchichas Bratwurst blancas envase 260 gr,1.99,7.65/Kg,
429,Cebolla echalotte malla 250 gr ,1.69,6.76/Kg,
430,"










					OSCAR MAYER salchichas con queso envase 200 gr",1.09,5.45/Kg,
431,EL CASERIO queso light fundido 16 porciones caja 250 gr,1.89,7.56/Kg,
432,PRESIDENT crema de queso azul tarrina 125 gr ,1.65,13.20/Kg,
433,Setas bandeja 200 gr,1.35,6.75/Kg,
434,Mandarina selección malla 1 Kg,2.65,2.65/Kg,
435,EL CASERIO queso rallado en polvo bolsa 100 gr ,1.39,13.90/Kg,
436,SAN MILLÁN queso para untar clásico tarrina 200 gr,1.15,5.75/Kg,
437,"










					TABUENCA zanahorias bolsa 500 gr ",0.49,0.98/Kg,
438,FLOR DE BURGOS queso fresco batido 0% M.G tarrina 450 gr,1.78,3.96/Kg,
439,Champiñones bandeja 250 gr,1.49,5.96/Kg,
440,Naranja selección bolsa 2 Kg ,3.25,1.63/Kg,
441,Perejil manojo 50 gr ,0.89,17.80/Kg,
442,Tomate rosa unidad (peso aprox. 690 gr),2.38,3.45/Kg,
443,FERRARINI jamón cocido en lonchas,16.50,16.50/Kg,
444,FERRARINI mortadela bologna en lonchas,11.49,11.49/Kg,
445,CAMPO REAL queso de oveja curado cuña 250 gr ,3.85,15.40/Kg,
446,"










					CAMPO REAL queso de oveja semicurado cuña 250 gr ",3.29,13.16/Kg,
447,MRM lacón en tapas 200 gr ,3.79,18.95/Kg,
448,Melón selección unidad (3.5 Kg aprox.),8.23,2.35/Kg,
449,ELPOZO Legado mortadela ibérica en lonchas,4.99,4.99/Kg,
450,NAVIDUL jamón curado bajo en sal envase 50 gr ,1.00,20.00/Kg,
451,PAVOFRÍO fiambre de pechuga de pavo braseada envase 80 gr,1.00,12.50/Kg,
452,Aguacate bandeja 3/4 piezas,1.89,4.20/Kg,
453,"










					PHILADELPHIA queso para untar sin lactosa tarrina 150 gr ",2.09,13.93/Kg,
454,Mejillón 40/50 piezas malla (peso aprox. 1 Kg),2.99,2.99/Kg,
455,SÁNCHEZ ALCARAZ jamón de cebo Ibérico 50% pieza (peso aprox. 8 Kg),109.00,13.63/Kg,
456,SANCHEZ ALCARAZ jamón reserva pieza (peso aprox. 7 Kg),49.00,7.00/Kg,
457,CAMPOFRÍO costilla en tira a las finas hierbas (peso aprox. 1 Kg),6.99,6.99/Kg,
458,Manzana golden bolsa 1 kg,1.49,1.49/Kg,
459,"










					EL CASERIO queso fundido burger con cheddar en lonchas paquete 185 gr ",1.69,9.14/Kg,
460,Zanahoria baby bolsa 125 gr,1.09,8.72/Kg,
461,SOLARIEGO jamón gran reserva pieza (peso aprox. 8 Kg),69.00,8.63/Kg,
462,DIA EL CENCERRO queso manchego curado D.O.P cuña 250 gr ,3.85,15.40/Kg,
463,DIA EL CENCERRO queso de oveja curado en aceite cuña 250 gr ,3.55,14.20/Kg,
464,EL POZO fiambre de pechuga de pavo mini pieza 360 gr,2.00,5.56/Kg,
465,LARSA queso en lonchas envase 200 gr ,2.45,12.25/Kg,
466,DIA SELECCIÓN MUNDIAL queso camembert envase 250 gr ,1.39,5.56/Kg,
467,DIA SELECCIÓN MUNDIAL queso roquefort cuña 100 gr ,1.59,15.90/Kg,
468,NAVIDUL jamón curado en lonchas sobre 138 gr,3.45,25.00/Kg,
469,Limón BIO bolsa 500 gr,1.49,2.98/Kg,
470,"










					Cilantro 20 gr",0.99,49.50/Kg,
471,DIA VEGECAMPO acelga bolsa 300 gr ,0.99,3.30/Kg,
472,DIA VEGECAMPO rúcula bolsa 50 gr ,0.79,15.80/Kg,
473,DIA VEGECAMPO ensalada mezclum bolsa 150 gr ,0.99,6.60/Kg,
474,SANCHEZ ALCARAZ paleta de cebo ibérica semideshuesada 50% raza ibérica (peso aprox. 4.6 Kg),59.00,12.55/Kg,
475,DIA LACTEA queso fresco sin lactosa pack 4 uds x 62.5 gr ,1.59,6.36/Kg,
476,Caqui bandeja 1 kg,1.65,1.65/Kg,
477,DIA pechuguita de pollo asada al horno en lonchas sobre 100 gr,2.19,21.90/Kg,
478,"










					ARGAL Bonnatur jamón cocido en finas lonchas sobre 140 gr",2.25,16.07/Kg,
479,"NAVIDUL salchichón ibérico lonchas sobre 100 gr 


2.69",1.99,"

26.90/Kg.
19.90/Kg.

","		1.99 €



"
480,"NAVIDUL chorizo ibérico lonchas sobre 100 gr 


2.39",1.99,"

23.90/Kg.
19.90/Kg.

","		1.99 €



"
481,LEGADO jamón de cebo Ibérico 50% raza ibérica pieza (peso aprox. 7.5 Kg),119.00,15.87/Kg,
482,NAVIDUL taquitos de jamón para cocinar envase 120 gr ,2.00,16.67/Kg,
483,"










					ZESPRI kiwi gold bandeja 500 gr",3.05,6.10/Kg,
484,Filetes de pechuga de pollo de antaño bandeja 400 gr,3.39,8.48/Kg,
485,ROLER hamburguesa de vacuno novillo angus 150 gr,1.99,13.27/Kg,
486,SELECCIÓN DE DIA hamburguesas de cerdo y vacuno bandeja 6 uds 540 gr ,3.35,6.20/Kg,
487,SELECCIÓN DE DIA hamburguesas de vacuno bandeja 6 uds 540 gr ,3.59,6.65/Kg,
488,"










					BURGO DE ARIAS queso fresco de cabra pack 3 unidades 70 gr ",3.19,15.19/Kg,
489,"










					CAMPOFRÍO Vegalia lonchas vegetarianas a las hierbas sobre 100 gr ",1.65,16.50/Kg,
490,"










					ARLA queso apetina en dados tarrina 200 gr ",2.99,14.95/Kg,
491,BABYBEL mini rolls de queso bolsa 5 uds 85 gr,2.09,24.59/Kg,
492,Patatas especial para freir malla 2 Kg,2.85,1.43/Kg,
493,Lomo de vaca madurado (peso aprox. 300 gr),6.90,22.99/Kg,
494,Cebolla tierna manojo 350 gr,1.15,3.29/Kg,
495,PHILADELPHIA queso para untar con trufa tarrina 150 gr,2.09,13.93/Kg,
496,Aguacate bio bandeja 400 gr,2.69,6.73/Kg,
497,GARCIA BAQUERO La cava barus queso curado cuña 250 gr,3.99,15.96/Kg,
498,Arándanos tarrina 250 gr,2.99,11.96/Kg,
499,DIA MARI MARINERA trucha ahumada envase 100 gr,2.99,29.90/Kg,
500,Manzana pink lady bandeja 4 uds,2.49,3.19/Kg,
501,DIA EL CENCERRO queso mezcla curado pieza 860 gr,7.49,8.71/Kg,
502,DIA EL CENCERRO queso semicurado mini pieza 930 gr,6.89,7.41/Kg,
503,DODONI queso feta tarrina 200 gr,3.09,15.45/Kg,
504,DIA LACTEA queso fresco bajo en sal pack 4 uds x 62.5 gr,1.35,5.40/Kg,
505,SAN MILLAN queso para untar 0% M.G. tarrina 175 gr,1.09,6.23/Kg,
506,SELECCIÓN DE DIA chuleta de aguja de cerdo bandeja (peso aprox. 700 gr),3.00,4.29/Kg,
507,ELPOZO escalopín de lomo de cerdo marinado extratierno bandeja 600 gr,3.99,6.65/Kg,
508,SELECCIÓN DE DIA preparado de carne picada de vacuno bandeja 500 gr,3.09,6.18/Kg,
509,SELECCIÓN DE DIA preparado de carne picada de cerdo y vacuno bandeja 500 gr,3.19,6.38/Kg,
510,SELECCIÓN DE DIA preparado de carne picada de vacuno bandeja 1 Kg,5.19,5.19/Kg,
511,SELECCIÓN DE DIA preparado de carne picada de cerdo y vacuno bandeja 1 Kg,5.19,5.19/Kg,
512,Espinazo salado bandeja (peso aprox. 600 gr),2.13,3.55/Kg,
513,CAPRIMAR anchoas en aceite de girasol frasco 52 gr,1.39,26.73/Kg,
514,SELECCIÓN DE DIA solomillo de pollo bandeja (peso aprox. 550 gr),4.11,7.48/Kg,
515,Longaniza fresca sin tripa bandeja 375 gr,1.79,4.77/Kg,
516,SELECCIÓN DE DIA alas partidas de pollo bandeja (peso aprox. 650 gr),2.79,4.65/Kg,
517,ELPOZO longaniza imperial con pavo pieza 230 gr,2.00,8.70/Kg,
518,SELECCIÓN DE DIA hamburguesas de pollo bandeja 6 uds 540 gr,3.49,6.46/Kg,
519,"










					EZEQUIEL cecina de León I.G.P sobre 55 gr",2.55,46.36/Kg,
520,Longaniza fresca bandeja 285 gr,1.59,5.58/Kg,
521,IGOR queso gorgonzola DOP cuña (peso aprox. 250 gr),2.97,11.89/Kg,
522,MICHELANGELO queso parmesano 22 meses DOP cuña (peso aprox. 250 gr),6.47,25.89/Kg,
523,Uva roja sin semilla bandeja 500 gr,2.49,4.98/Kg,
524,LEGADO jamón de cebo ibérico 50% raza ibérica corte a lascas sobre 90 gr,4.45,55.63/Kg,
525,"










					LEGADO paleta de cebo ibérico 50% raza ibérica corte a lascas sobre 90 gr",4.39,48.78/Kg,
526,DIA SELECCIÓN MUNDIAL queso parmigianno regianno DOP pieza 200 gr,4.35,21.75/Kg,
527,DIA SELECCIÓN MUNDIAL queso curado italiano pieza 200 gr,2.45,12.25/Kg,
528,EL PASTOR DE LA POLVOROSA queso rulo de cabra en medallones envase 2 x 75 gr,2.19,14.60/Kg,
529,EL PASTOR DE LA POLVOROSA queso reserva cuña 375 gr,3.75,10.00/Kg,
530,MANUEL DE MONTEJO jamón de cebo Ibérico 50% pieza (peso aprox. 8 Kg),99.00,99.00/Kg,
531,ELPOZO jamón curado en lonchas sobre 2 x 90 gr,3.00,16.67/Kg,
532,DIA SELECCIÓN MUNDIAL queso mozzarella di bufala campana DOP tarrina 125 gr,1.79,14.32/Kg,
533,DIA SELECCIÓN MUNDIAL queso gouda en lonchas sobre 240 gr,1.35,5.63/Kg,
534,DIA SELECCIÓN MUNDIAL queso havarti light danés en lonchas sobre 240 gr,2.09,8.71/Kg,
535,DIA SELECCIÓN MUNDIAL queso emmental en lonchas sobre 200 gr,1.65,8.25/Kg,
536,DIA SELECCIÓN MUNDIAL queso gouda holandés sin lactosa en lonchas sobre 200 gr,1.99,9.95/Kg,
537,Solomillos de pollo empanados bandeja (peso aprox. 600 gr),4.19,6.99/Kg,
538,DIA SELECCIÓN MUNDIAL queso havarti danés en lonchas envase 240 gr,1.99,8.29/Kg,
539,DIA SELECCIÓN MUNDIAL queso cheddar irlandés en lonchas envase 200 gr,1.65,8.25/Kg,
540,DIA SELECCIÓN MUNDIAL queso edam en lonchas envase 240 gr,1.35,5.63/Kg,
541,NACIONAL boniato para microondas bolsa 400 gr,1.89,4.73/Kg,
542,DIA LACTEA queso rallado en polvo especial para pasta bolsa 150 gr,1.39,9.27/Kg,
543,Costilla ibérica adobada envasada al vacío 600 gr,2.95,4.92/Kg,
544,DIA MARI MARINERA bacalao desmigado desalado bandeja 250 gr,4.29,17.16/Kg,
545,DIA SELECCIÓN MUNDIAL filetón bacalao salado envase 700 gr,9.69,13.84/Kg,
546,DIA EL CENCERRO queso tierno de cabra lonchas envase 200 gr,2.29,11.45/Kg,
547,DIA SELECCIÓN MUNDIAL salmón ahumado sobre 100 gr,3.49,34.90/Kg,
548,DIA EL CENCERRO queso tierno reducido en sal en lonchas envase 160 gr,1.65,10.31/Kg,
549,DIA EL CENCERRO queso tierno de vaca 100% en lonchas 250 gr,1.79,7.16/Kg,
550,AQUAREL agua mineral natural botella 1.5 lt,0.49,0.33/l,
551,"










					AQUAREL agua mineral natural botella 5 lt",1.14,0.23/l,
552,AQUAREL agua mineral natural botella tapón sport 75 cl,0.65,0.87/l,
553,SELECCIÓN DE DIA pechuga de pollo entera formato familiar bandeja (peso aprox. 1.4 Kg),8.39,5.99/Kg,
554,SELECCIÓN DE DIA cuarto trasero de pollo formato familiar bandeja (peso aprox. 1.45 Kg),4.05,2.79/Kg,
555,DIA EL CENCERRO queso semicurado cortado cuña 250 gr,2.69,10.76/Kg,
556,DIA EL CENCERRO queso semicurado cuña 300 gr,2.35,7.83/Kg,
557,DIA EL CENCERRO queso tierno cortado cuña 250 gr,2.49,9.96/Kg,
558,LA VACA QUE RIE tranchettes light 14 lochas paquete 245 gr,2.09,7.95/Kg,
559,"










					DIA MARI MARINERA gulas clásicas refrigeradas bandeja 200 gr",3.09,15.45/Kg,
560,MONTECIERZO jamón selecto pieza (peso aprox. 8 Kg),75.00,9.38/Kg,
561,DIA EL CENCERRO queso mozzarella en lonchas envase 200 gr,1.45,7.25/Kg,
562,DIA EL CENCERRO queso semicurado en lonchas envase 200 gr,1.95,9.75/Kg,
563,DIA MARI MARINERA bacalao desmigado salado envase 250 gr,3.95,15.80/Kg,
564,DIA EL CENCERRO queso tierno cuña 300 gr,2.15,7.17/Kg,
565,DIA EL CENCERRO queso tierno light cuña 300 gr,2.65,8.83/Kg,
566,DIA EL CENCERRO queso curado cuña 300 gr,2.65,8.83/Kg,
567,DIA EL CENCERRO queso curado cortado cuña 250 gr,2.95,11.80/Kg,
568,"










					DIA SELECCIÓN MUNDIAL queso burrata tarrina 150 gr",2.29,15.27/Kg,
569,DIA EL CENCERRO queso de oveja semicurado lonchas envase 200 gr,2.29,11.45/Kg,
570,"










					Mandarina hoja bolsa 1kg",1.99,1.99/Kg,
571,SELECCIÓN DE DIA roti de pollo relleno de bacon y queso envase 540 gr,3.99,7.39/Kg,
572,Redondo de vacuno con pasas. piñones. ciruelas. champiñones y orejones envase 750 gr,7.49,9.99/Kg,
573,ZESPRI kiwi bandeja 700gr,2.59,3.70/Kg,
574,"










					SELECCIÓN DE DIA hamburguesa de pollo crunchy bandeja 260 gr",1.99,7.65/Kg,
575,Gilda de anchoa bandeja 145 gr,2.49,17.17/Kg,
576,DIA EL CENCERRO queso fresco de cabra tarrina 250 gr,2.29,9.16/Kg,
577,DIA SELECCIÓN MUNDIAL queso mild cheddar envase 200 gr,1.75,8.75/Kg,
578,DIA SELECCION MUNDIAL queso gouda añejo envase 200 gr,2.89,14.45/Kg,
579,DIA SELECCIÓN MUNDIAL queso cheddar extra mature envase 200 gr  ,1.99,9.95/Kg,
580,SELECCIÓN DE DIA escalopines de salmón bandeja (peso aprox. 400 gr),8.24,20.60/Kg,
581,Lima malla 3 uds,1.09,3.89/Kg,
582,Champiñón entero bandeja 250 gr,0.95,3.80/Kg,
583,Kiwi Bio bandeja 500 gr,2.99,5.98/Kg,
584,DIA GALATEA queso rallado sin lactosa bolsa 150 gr,1.59,10.60/Kg,
585,Patata Amandine malla 1.5 kg,1.95,1.30/Kg,
586,DIA GALATEA queso fundido 24 porciones caja 375 gr,1.69,4.51/Kg,
587,SELECCIÓN DE DIA solomillo de pavo envase (peso aprox. 360 gr),2.34,6.50/Kg,
588,SELECCIÓN DE DIA chuleta de pavo bandeja (peso aprox. 580 gr),3.25,5.60/Kg,
589,SELECCIÓN DE DIA filete de pechuga de pavo bandeja (peso aprox. 580 gr),4.29,7.40/Kg,
590,SELECCIÓN DE DIA medallones de solomillo de pavo bandeja (peso aprox. 350 gr),3.57,10.20/Kg,
591,Pepino unidad (310 gr aprox.),0.40,1.29/Kg,
592,Tomate maduro malla 750 gr,0.99,1.32/Kg,
593,DIA SELECCIÓN MUNDIAL queso maasdam cuña 400 gr,2.65,6.63/Kg,
594,SELECCIÓN DE DIA mini hamburguesas de pollo bandeja 8 uds 280 gr,1.99,7.11/Kg,
595,ELPOZO hamburguesas de cerdo y vacuno American BBQ bandeja 280 gr,1.99,7.11/Kg,
596,Puerro unidad (250 gr aprox.),0.59,2.36/Kg,
597,DIA EL CENCERRO queso mezcla ibérico 6 meses leche cruda cuña 300 gr,3.79,12.63/Kg,
598,SELECCIÓN DE DIA hamburguesa big New York bandeja 360 gr,2.99,8.31/Kg,
599,DIA EL CENCERRO queso mezcla añejo con leche cruda 9 meses cuña 300 gr,3.39,11.30/Kg,
600,DIA SELECCION MUNDIAL queso emmental francés cuña (peso aprox. 400 gr),2.50,6.25/Kg,
601,DIA EL CENCERRO queso de oveja viejo con leche pasteurizada 6 meses cuña 300 gr,3.55,11.83/Kg,
602,Champiñón grande bandeja 430 gr,1.79,4.16/Kg,
603,DIA EL CENCERRO queso oveja añejo 9 meses leche cruda cuña 300 gr,3.99,13.30/Kg,
604,DIA EL CENCERRO queso de cabra semicurado cuña 300 gr,3.59,11.97/Kg,
605,SELECCIÓN DE DIA albóndigas de cerdo bandeja 400 gr,2.15,5.38/Kg,
606,SELECCIÓN DE DIA pechuga rellena de jamón curado y queso bandeja 250 gr,1.99,7.96/Kg,
607,SELECCIÓN DE DIA chorizo oreado bandeja 300 gr,1.99,6.63/Kg,
608,SELECCIÓN DE DIA morcilla de cebolla bandeja 300 gr,1.69,5.63/Kg,
609,EMBUMAR taquitos de mar especial aliños envase 125 gr,1.89,15.12/Kg,
610,MONELLS cabecero de lomo envase 2 x 70 gr,1.95,13.93/Kg,
611,ELPOZO Pechuga de pollo extratierna en filetes bandeja (peso aprox. 650 gr),4.75,7.30/Kg,
612,Tomate Monterosa unidad (300 gr aprox.),0.90,2.99/Kg,
613,Espárrago verde grueso manojo 300 gr,2.89,9.63/Kg,
614,Pulpa de aguacate tarrina 125 gr,1.55,12.40/Kg,
615,DIA EL CENCERRO queso tierno sin lactosa cuña 250 gr,2.85,11.40/Kg,
616,DIA EL CENCERRO queso de vaca tierno de leche de pastoreo cuña 250 gr,2.59,10.36/Kg,
617,SELECCIÓN DE DIA entrecot de vacuno ecológico (peso aprox. 250 gr),5.00,19.99/Kg,
