,producto,precio,precio/kg,none
230,DIA LACTEA queso rallado mezcla 4 quesos bolsa 200 gr,1.79,8.95/Kg,
231,Repollo liso unidad (3.2 Kg aprox.),3.17,0.99/Kg,
232,Lombarda unidad (3.3 Kg aprox.),3.27,0.99/Kg,
233,SELECCIÓN DE DIA filetes de pechuga de pollo corte fino bandeja (peso aprox. 660 gr),5.35,8.10/Kg,
234,PALACIOS chorizo sarta pieza 250 gr,3.45,13.80/Kg,
235,"










					DIA EL CENCERRO queso tierno pieza 1 Kg",6.45,6.45/Kg,
236,DIA SELECCIÓN MUNDIAL queso gouda cuña 500 gr,2.95,5.90/Kg,
237,SERRANO longaniza de pavo y pollo 320 gr ,1.99,6.22/Kg,
238,Plátano para freír unidad (360 gr aprox.),0.72,1.99/Kg,
239,CASA TARRADELLAS espetec pack 2 x 180 gr,3.99,11.08/Kg,
240,BURGO DE ARIAS queso fresco mini 0% envase pack 3x72 g,2.39,11.06/Kg,
241,Cebolla morada malla 500 gr,1.05,2.10/Kg,
242,Corazones de lechuga romana bandeja 2 uds,1.39,0.70/ud,
243,DIA EL CENCERRO queso tierno en lonchas envase 250 gr,1.95,7.80/Kg,
244,BABYBEL mini queso 6 porciones bolsa 120 gr ,2.39,19.92/Kg,
245,DIA MARI MARINERA palitos de surimi refrigeradas paquete 300 gr ,1.75,5.83/Kg,
246,DIA EL CENCERRO queso tierno de cabra mini 550 gr,5.95,10.82/Kg,
247,Pera conferencia cesta 1 Kg,1.49,1.49/Kg,
248,DIA magro de cerdo lata 220 gr ,1.85,8.41/Kg,
249,"










					OSCAR MAYER salchichas jumbo con queso envase 350 gr",2.19,6.26/Kg,
250,SERRANO pechuga de pavo adobada bandeja 240 gr ,2.09,8.71/Kg,
251,DIA LACTEA queso fresco 0% M.G pack 4 uds x 62.5 gr,0.99,3.96/Kg,
252,"CAMPOFRÍO Finissimas jamón cocido extra sobre 115 gr 
",1.99,17.30/Kg,
253,"










					CAMPOFRÍO Finissimas pechuga de pavo sobre 115 gr",1.99,17.30/Kg,
254,BABYBEL mini queso light 6 porciones bolsa 120 gr,2.49,20.75/Kg,
255,EL VENTERO queso tierno bajo en sal mini pieza 550 gr,8.55,15.55/Kg,
256,Calabaza (1.9 Kg aprox.),2.38,1.25/Kg,
257,SELECCIÓN DE DIA panceta fileteada de cerdo bandeja 500 gr,2.99,5.98/Kg,
258,"










					AGUINAMAR mejillones cocidos envasado al vació 1 Kg",4.09,4.09/Kg,
259,"










					ELPOZO Bienstar pechuga de pavo 0% M.G. pieza 340 gr",3.15,9.26/Kg,
260,ELPOZO Bienstar hamburguesas de pavo bandeja 320 gr ,1.99,6.22/Kg,
261,"










					FLOR DE ESGUEVA queso de oveja viejo cuña 250 g",4.79,19.16/Kg,
262,LA VACA QUE RIE palitos con queso fundido caja 4 uds 140 gr,2.09,14.93/Kg,
263,"










					KIRI queso fundido porciones caja 6 unidades 108 gr",1.89,17.50/Kg,
264,DIA FUNKY FRANK salchichas súper envase 350 gr,1.45,4.14/Kg,
265,Pimientos tres colores bolsa 500 gr,1.55,3.10/Kg,
266,DIA VEGECAMPO ensalada 4 estaciones bolsa 250 gr,0.59,2.36/Kg,
267,DIA VEGECAMPO ensalada gourmet bolsa 175 gr,0.99,5.66/Kg,
268,DIA VEGECAMPO espinacas bolsa 300 gr,0.99,3.30/Kg,
269,DIA VEGECAMPO ensalada variada bolsa 200 gr,0.99,4.95/Kg,
270,DIA VEGECAMPO canónigos bolsa 100 gr,0.95,9.50/Kg,
271,LA GULA DEL NORTE refrigeradas bandeja 180 gr,5.49,30.50/Kg,
272,"










					DIA LACTEA queso mozzarella fresca bolsa 125 gr",0.89,7.12/Kg,
273,SERRANO preparado de carne picada de pavo y pollo bandeja 300 gr ,1.79,5.97/Kg,
274,Cinta de lomo adobada (peso aprox. 800 gr),4.68,5.85/Kg,
275,"










					ELPOZO jamón cocido en lonchas sobre 110 gr",1.00,9.09/Kg,
276,ELPOZO sobrasada tarrina 250 gr,1.69,6.76/Kg,
277,"










					DIA EL CENCERRO queso fresco tradicional envase  250 gr",1.35,5.40/Kg,
278,DIA LACTEA queso fresco Natural envase pack 4 uds x 62.5 gr,0.99,3.96/Kg,
279,DIA LACTEA queso fundido light 16 porciones caja 250 gr,1.45,5.80/Kg,
280,SELECCIÓN DE DIA langostino cocido bandeja 400 gr,3.99,9.98/Kg,
281,"










					NAVIDUL jamón curado en lonchas 50 gr",1.00,20.00/Kg,
282,Chorizo gallego malla 500 gr,3.99,7.98/Kg,
283,LA CARLOTEÑA redondo de pollo asado envase 340 gr,2.99,8.79/Kg,
284,Morcilla de burgos pieza 320 gr ,1.45,4.53/Kg,
285,"










					CONSORCIO filetes de anchoa en aceite de oliva lata 29 gr",1.99,68.62/Kg,
286,"










					ELPOZO salchichas frankfurt envase 160 gr",0.55,3.44/Kg,
287,ELPOZO pechuga de pavo finas lonchas sobre 85 gr,1.00,11.76/Kg,
288,"










					CAMPOFRÍO salchichas frankfurt pack 4 x 140 gr",1.69,3.02/Kg,
289,"










					LA VACA QUE RIE queso fundido original 16 porciones caja 250 gr",2.19,8.76/Kg,
290,Ajetes tiernos bandeja 100 gr,1.59,15.90/Kg,
291,"










					FINISTER filetes de anchoa en aceite de girasol pack 3 latas de 29 gr",2.09,24.02/Kg,
292,Frambuesas tarrina 125 gr ,1.59,12.72/Kg,
293,NAVIDUL caña de lomo en lonchas sobre 45 gr,1.00,22.22/Kg,
