,producto,precio,cantidad,medida
327,Refresco Fanta limon,1.52,2.0,L
328,Refresco Fanta limon,4.05,2.97,L
329,Refresco Fanta limon,0.57,0.33,L
330,Refresco Fanta limon zero azucares anadidos,0.57,0.33,L
331,Refresco de limon Hacendado fresh gas,0.63,2.0,L
332,Refresco de limon Hacendado fresh gas,2.7,3.0,L
333,Refresco de limon Hacendado fresh gas,0.45,0.5,L
334,Refresco de limon Hacendado fresh gas,1.68,1.98,L
335,Refresco de limon Hacendado fresh gas,0.28,0.33,L
336,Refresco de limon Hacendado zero azucar fresh gas,0.7,2.0,L
337,Refresco de limon Hacendado zero azucar fresh gas,1.8,1.98,L
338,Refresco de limon Hacendado zero azucar fresh gas,0.3,0.33,L
339,Refresco limon Schweppes original,6.24,2.64,L
340,Refresco limon Schweppes original,0.79,0.33,L
341,Refresco de limon Hacendado con gas,0.4,0.33,L
342,Refresco lima limon Sprite,1.0,2.0,L
343,Refresco lima limon Sprite,3.6,2.64,L
344,Refresco lima limon Sprite,0.48,0.33,L
345,Refresco lima limon 7 Up,1.13,2.0,L
346,Refresco lima limon 7 Up,3.87,2.97,L
347,Refresco lima limon 7 Up,0.48,0.33,L
348,Refresco lima limon Hacendado fresh gas,0.63,2.0,L
349,Refresco lima limon Hacendado fresh gas,1.68,1.98,L
350,Refresco lima limon Hacendado fresh gas,0.28,0.33,L
351,Refresco lima limon Hacendado zero azucar fresh gas,0.7,2.0,L
352,Refresco lima limon Hacendado zero azucar fresh gas,1.8,1.98,L
353,Refresco lima limon Hacendado zero azucar fresh gas,0.3,0.33,L
354,Refresco Fanta naranja,2.28,4.0,L
355,Refresco Fanta naranja,1.49,2.0,L
356,Refresco Fanta naranja,4.05,2.97,L
357,Refresco Fanta naranja,0.56,0.33,L
358,Refresco Fanta naranja zero azucares anadidos,1.19,2.0,L
359,Refresco Fanta naranja zero azucares anadidos,0.56,0.33,L
360,Refresco de naranja Hacendado fresh gas,0.63,2.0,L
361,Refresco de naranja Hacendado fresh gas,2.7,3.0,L
362,Refresco de naranja Hacendado fresh gas,0.45,0.5,L
363,Refresco de naranja Hacendado fresh gas,1.68,1.98,L
364,Refresco de naranja Hacendado fresh gas,0.28,0.33,L
365,Refresco de naranja Hacendado zero fresh gas,0.65,2.0,L
366,Refresco de naranja Hacendado zero fresh gas,1.68,1.98,L
367,Refresco de naranja Hacendado zero fresh gas,0.28,0.33,L
368,Tonica original Schweppes,4.72,2.64,L
369,Tonica original Schweppes,0.79,0.33,L
370,Tonica original Schweppes,4.5,1.5,L
371,Tonica original Schweppes,0.75,0.25,L
372,Tonica Hacendado,0.58,5.0,L
373,Tonica Hacendado,1.38,1.98,L
374,Tonica Hacendado,0.23,0.33,L
375,Tonica Hacendado,1.5,1.2,L
376,Tonica zero calorias Schweppes,4.72,2.64,L
377,Tonica zero calorias Schweppes,0.79,0.33,L
378,Tonica Nordic Mist,3.44,2.0,L
379,Tonica Nordic Mist,0.5,0.25,L
380,Ginger ale Schweppes,6.24,2.64,L
381,Ginger ale Schweppes,0.79,0.33,L
382,Tonica pink Schweppes,4.72,2.64,L
383,Tonica pink Schweppes,0.79,0.33,L
384,Tonica con toque lima Schweppes,4.95,0.8,L
385,Tonica con toque lima Schweppes,1.65,0.2,L
386,Bitter Kas sin alcohol,0.75,0.33,L
387,Bitter Kas sin alcohol,3.9,1.2,L
388,Refresco al limon Nestea,5.68,2.64,L
389,Refresco al limon Nestea,0.73,0.33,L
390,Refresco al limon Nestea,1.67,5.0,L
391,Refresco te verde Hacendado,0.75,5.0,L
392,Refresco te verde Hacendado,1.8,1.98,L
393,Refresco te verde Hacendado,0.3,0.33,L
394,Refresco te sabor limon Hacendado cero,0.7,5.0,L
395,Refresco te sabor limon Hacendado cero,1.8,1.98,L
396,Refresco te sabor limon Hacendado cero,0.3,0.33,L
397,Refresco te sabor mango Hacendado cero,0.75,5.0,L
398,Refresco te sabor limon Hacendado,0.7,5.0,L
399,Refresco te sabor limon Hacendado,1.8,1.98,L
400,Refresco te sabor limon Hacendado,0.3,0.33,L
401,Refresco te sabor melocoton Hacendado cero,0.7,5.0,L
402,Refresco te sabor melocoton Hacendado cero,1.8,1.98,L
403,Refresco te sabor melocoton Hacendado cero,0.3,0.33,L
404,Refresco te con limon Hacendado para diluir,1.3,0.432,kg
405,Refresco te con melocoton Hacendado para diluir,1.3,0.432,kg
406,Refresco te sabor mango y pina Hacendado,0.8,5.0,L
407,Limonada Don Simon light sin gas,1.1,2.0,L
408,Refresco de naranja Simon Life sin gas,1.35,5.0,L
409,Refresco de naranja Gold Spring sin gas,1.05,2.0,L
410,Refresco de naranja Gold Spring sin gas,1.1,1.32,L
411,Refresco fusion de frutas Gold Spring cero sin gas,1.05,2.0,L
412,Refresco de naranja Trina sin gas,3.92,2.64,L
413,Refresco de naranja Trina sin gas,0.55,0.33,L
414,Refresco de naranja Trina sin gas,1.39,5.0,L
415,Refresco Sunny Delight Florida sin gas,1.5,0.8,L
416,Bebida Florida Sunny Delight,1.65,25.0,L
417,Refresco de manzana sin gas,0.8,5.0,L
418,Refresco pina-coco Gold Spring cero sin gas,1.05,2.0,L
419,Refresco de naranja Trina zero sin gas,3.92,2.64,L
420,Refresco de naranja Trina zero sin gas,0.55,0.33,L
421,Agua de coco Chaokoh 100% natural,2.4,1.0,L
422,Agua de coco Chaokoh 100% natural,1.3,0.33,L
423,Refresco sandia Gold Spring cero sin gas,1.05,2.0,L
424,Refresco Caribe Gold Spring cero sin gas,1.05,2.0,L
425,Refresco de naranja Gold Spring sin gas y sin azucares anadidos,1.05,2.0,L
426,Bebida aloe vera zero Hacendado,1.35,0.5,L
427,Agua-Fruta de frutos rojos Hacendado,0.7,1.0,L
428,Agua-Fruta de limon Hacendado,0.7,1.0,L
429,Limonada Hacendado light sin gas,1.1,1.32,L
430,Aceitunas manzanilla rellenas de anchoa Hacendado,1.9,0.45,kg
431,Aceitunas manzanilla rellenas de anchoa Hacendado,2.15,0.3,kg
432,Aceitunas rellenas de anchoa Hacendado reducido en sal,0.8,52.5,kg
433,Aceitunas manzanilla rellenas de anchoa Hacendado reducidas en sal,1.8,0.15,kg
434,Aceitunas rellenas de anchoa Hacendado,1.15,39.0,kg
435,Aceitunas rellenas de anchoa Hacendado,3.1,27.6,kg
436,Aceitunas manzanilla Hacendado sin hueso,1.7,334.0,kg
437,Aceitunas manzanilla Hacendado sin hueso,1.3,0.225,kg
