,producto,precio,precio_rel,link,oferta
153,Mandarina unidad (200 gr aprox.),0.37,1.85/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
154,Chirimoya unidad (520 gr aprox.),1.55,2.99/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
155,Manzana reineta unidad (280 gr aprox.),0.67,2.39/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
156,Calabacín unidad (900 gr aprox.),1.43,1.59/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
157,Naranja unidad (400 gr aprox.),0.60,1.49/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
158,Manzana golden unidad (280 gr aprox.),0.47,1.69/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
159,Tomate en rama unidad (190 gr aprox.),0.34,1.79/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
160,Tomate ensalada unidad (380 gr aprox.),0.64,1.69/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
161,Tomate canario unidad (250 gr aprox.),0.35,1.39/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
162,Pimiento italiano unidad (200 gr aprox.),0.31,1.55/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
163,DIA GALATEA queso fundido 16 lonchas paquete 300 gr,1.09,3.63/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
164,PAVOFRÍO pechuga de pavo en lonchas,10.99,10.99/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
165,LA GULA DEL NORTE con gambas al ajillo envase 110 gr,2.99,27.18/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
166,Corazones de cogollos 6 uds,1.89,0.32/ud,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
167,Champiñón laminado bandeja 250 gr,1.29,5.16/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
168,Ciruela roja unidad (120 gr aprox.),0.27,2.29/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
169,DIA LACTEA queso fresco natural pack 2 x 250 gr ,1.55,3.10/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
170,KRISSIA surimi fresco rallado envase 125 g,1.99,15.92/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
171,Remolacha cocida bolsa 500 gr,0.79,1.58/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
172,SELECCIÓN DE DIA cuartos traseros de pollo bandeja (peso aprox. 1.3 kg),4.10,3.15/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
173,Maíz cocido mazorcas bolsa 400 gr,1.15,2.88/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
174,Cebolla malla 2 Kg,1.69,0.85/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
175,Brócoli pieza 500 gr,1.25,2.50/Kg,https://www.dia.es/compra-online/frescos/cf?page=1&disp=,0
176,Patata de guarnición malla 1 kg,1.09,1.09/Kg,https://www.dia.es/compra-online/frescos/cf?page=2&disp=,0
177,DIA GALATEA queso rallado especial para gratinar bolsa 200 gr,0.99,4.95/Kg,https://www.dia.es/compra-online/frescos/cf?page=2&disp=,0
178,Apio bolsa 500 gr,0.99,1.98/Kg,https://www.dia.es/compra-online/frescos/cf?page=2&disp=,0
179,LA GULA DEL NORTE al ajillo envase 110 gr,2.99,27.18/Kg,https://www.dia.es/compra-online/frescos/cf?page=2&disp=,0
180,SELECCIÓN DE DIA filetes de pechuga de pollo bandeja (peso aprox. 760 gr),5.55,7.30/Kg,https://www.dia.es/compra-online/frescos/cf?page=2&disp=,0
181,Naranja de zumo malla 4 Kg ,3.59,0.90/Kg,https://www.dia.es/compra-online/frescos/cf?page=2&disp=,0
182,DIA EL CENCERRO queso tierno light en lonchas envase 200 gr,1.99,9.95/Kg,https://www.dia.es/compra-online/frescos/cf?page=2&disp=,0
183,REVILLA chorizo tradición en lonchas sobre 70 gr,0.99,14.14/Kg,https://www.dia.es/compra-online/frescos/cf?page=2&disp=,0
184,Cebolla buti 1 Kg,1.19,1.19/Kg,https://www.dia.es/compra-online/frescos/cf?page=2&disp=,0
185,DIA LACTEA queso rallado emmental bolsa 200 gr,1.29,6.45/Kg,https://www.dia.es/compra-online/frescos/cf?page=2&disp=,0
186,Pimiento tipo padrón bolsa 200 gr,1.05,5.25/Kg,https://www.dia.es/compra-online/frescos/cf?page=2&disp=,0
