,producto,precio,cantidad,medida,categoria,supermercado
1219,Cerveza clasica Mahou,7.98,6.0,L,cerveza,mercadona
1220,Cerveza clasica Mahou,1.33,1.0,L,cerveza,mercadona
1221,Cerveza clasica Mahou,4.8,3.0,L,cerveza,mercadona
1222,Cerveza reserva,3.96,1.98,L,cerveza,mercadona
1223,Cerveza reserva,0.66,0.33,L,cerveza,mercadona
1224,Cerveza de trigo Franziskaner,5.52,2.13,L,cerveza,mercadona
1225,Cerveza de trigo Franziskaner,0.92,0.355,L,cerveza,mercadona
1226,Cerveza abadia Tongerlo,4.0,1.32,L,cerveza,mercadona
1227,Cerveza abadia Tongerlo,1.0,0.33,L,cerveza,mercadona
1228,Cerveza especial Mahou,6.0,3.0,L,cerveza,mercadona
1229,Cerveza especial Mahou,0.54,0.25,L,cerveza,mercadona
1230,Cerveza Especial Steinburg,0.95,1.0,L,cerveza,mercadona
1231,Cerveza Especial Steinburg,4.8,3.96,L,cerveza,mercadona
1232,Cerveza Especial Steinburg,0.4,0.33,L,cerveza,mercadona
1233,Cerveza Pils Krombacher,3.6,1.98,L,cerveza,mercadona
1234,Cerveza Pils Krombacher,0.6,0.33,L,cerveza,mercadona
1235,Cerveza roja sabor intenso,4.4,1.32,L,cerveza,mercadona
1236,Cerveza roja sabor intenso,1.1,0.33,L,cerveza,mercadona
1237,Cerveza Heineken,5.76,3.0,L,cerveza,mercadona
1238,Cerveza Heineken,0.52,0.25,L,cerveza,mercadona
1239,Cerveza tostada Turia,3.54,1.5,L,cerveza,mercadona
1240,Cerveza tostada Turia,0.59,0.25,L,cerveza,mercadona
1241,Cerveza El ÃÂguila sin filtrar,5.34,1.98,L,cerveza,mercadona
1242,Cerveza El ÃÂguila sin filtrar,0.89,0.33,L,cerveza,mercadona
1243,Cerveza Abadia tostada Helecine,1.25,0.33,L,cerveza,mercadona
1244,Cerveza Grand Cru Especialidades 1897,1.6,0.33,L,cerveza,mercadona
1245,Cerveza de trigo tostada Paulaner,1.52,0.5,L,cerveza,mercadona
1246,Cerveza IPA aromatica & amarga Especialidades 1897,4.8,1.32,L,cerveza,mercadona
1247,Cerveza IPA aromatica & amarga Especialidades 1897,1.2,0.33,L,cerveza,mercadona
1248,Cerveza de trigo 1897,0.75,0.33,L,cerveza,mercadona
1249,Cerveza artesana La Sagra,4.48,1.32,L,cerveza,mercadona
1250,Cerveza artesana La Sagra,1.12,0.33,L,cerveza,mercadona
1251,Cerveza Jamonera La Virgen,1.8,0.33,L,cerveza,mercadona
1252,Cerveza IPA Mahou,1.2,0.33,L,cerveza,mercadona
1253,Cerveza Maestra Mahou doble lupulo,5.94,1.98,L,cerveza,mercadona
1254,Cerveza Maestra Mahou doble lupulo,0.99,0.33,L,cerveza,mercadona
1255,Cerveza Especial Steinburg,4.2,2.4,L,cerveza,mercadona
1256,Cerveza Especial Steinburg,0.35,0.2,L,cerveza,mercadona
1257,Cerveza suave Budweiser,3.6,1.5,L,cerveza,mercadona
1258,Cerveza suave Budweiser,0.6,0.25,L,cerveza,mercadona
1259,Cerveza sin gluten Mahou,5.76,1.98,L,cerveza,mercadona
1260,Cerveza sin gluten Mahou,0.96,0.33,L,cerveza,mercadona
1261,Cerveza Estrella Galicia,6.0,3.0,L,cerveza,mercadona
1262,Cerveza Estrella Galicia,0.5,0.25,L,cerveza,mercadona
1263,Cerveza extra 1906 reserva especial,1.02,0.33,L,cerveza,mercadona
1264,Cerveza extra 1906 reserva especial,6.12,1.98,L,cerveza,mercadona
1265,Cerveza Radler con zumo natural de limon Steinburg,4.2,3.96,L,cerveza,mercadona
1266,Cerveza Radler con zumo natural de limon Steinburg,0.35,0.33,L,cerveza,mercadona
1267,Cerveza Radler Steinburg con zumo natural de limon,3.3,3.0,L,cerveza,mercadona
1268,Cerveza Radler Steinburg con zumo natural de limon,0.55,0.5,L,cerveza,mercadona
1271,Cerveza Corona,6.54,2.13,L,cerveza,mercadona
1272,Cerveza Corona,1.09,0.355,L,cerveza,mercadona
1273,Cerveza Shandy sabor limon Steinburg,3.84,3.96,L,cerveza,mercadona
1274,Cerveza Shandy sabor limon Steinburg,0.32,0.33,L,cerveza,mercadona
1275,Cerveza Shandy Steinburg sabor limon,3.0,3.0,L,cerveza,mercadona
1276,Cerveza Shandy Steinburg sabor limon,0.5,0.5,L,cerveza,mercadona
1277,Cerveza Radler Steinburg 0.0% sin alcohol,2.4,1.98,L,cerveza,mercadona
1278,Cerveza Radler Steinburg 0.0% sin alcohol,0.4,0.33,L,cerveza,mercadona
1279,Cerveza con sabor a tequila y ginger Desperados,7.5,1.98,L,cerveza,mercadona
1280,Cerveza con sabor a tequila y ginger Desperados,1.25,0.33,L,cerveza,mercadona
1287,Cerveza sin alcohol Steinburg,0.85,1.0,L,cerveza,mercadona
1288,Cerveza sin alcohol Steinburg,1.62,1.5,L,cerveza,mercadona
1289,Cerveza 0.0% sin alcohol Falke,3.36,3.0,L,cerveza,mercadona
1290,Cerveza 0.0% sin alcohol Falke,0.28,0.25,L,cerveza,mercadona
1291,Cerveza 0.0% sin alcohol tostada Mahou,5.4,1.98,L,cerveza,mercadona
1292,Cerveza 0.0% sin alcohol tostada Mahou,0.9,0.33,L,cerveza,mercadona
1293,Cerveza sin alcohol Mahou,2.17,1.5,L,cerveza,mercadona
1294,Cerveza sin alcohol Steinburg,3.24,3.96,L,cerveza,mercadona
1295,Cerveza sin alcohol Steinburg,0.27,0.33,L,cerveza,mercadona
1296,Cerveza 0.0% sin alcohol Falke,3.96,3.96,L,cerveza,mercadona
1297,Cerveza 0.0% sin alcohol Falke,0.33,0.33,L,cerveza,mercadona
1298,Cerveza sin gluten Steinburg 0.0% sin alcohol,2.1,1.98,L,cerveza,mercadona
1299,Cerveza sin gluten Steinburg 0.0% sin alcohol,0.35,0.33,L,cerveza,mercadona
1300,Cerveza sin alcohol Mahou,6.36,3.96,L,cerveza,mercadona
1301,Cerveza sin alcohol Mahou,0.54,0.33,L,cerveza,mercadona
1302,Cerveza 0.0% sin alcohol tostada Falke,4.8,3.96,L,cerveza,mercadona
1303,Cerveza 0.0% sin alcohol tostada Falke,0.4,0.33,L,cerveza,mercadona
1304,Vermouth bianco Martini,8.0,1.0,L,vermouth,mercadona
1305,Vermouth rosso Martini,8.0,1.0,L,vermouth,mercadona
1306,Vermouth blanco Maronti,1.9,1.0,L,vermouth,mercadona
1307,Vermouth rojo Maronti,2.0,1.0,L,vermouth,mercadona
1308,Vermouth rojo Maronti reserva,3.0,1.0,L,vermouth,mercadona
